INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
       893  DEC  7,2000  SURGERY
       894  MAY 18,1994  LAB SERVICE
       895  JUN 24,1994  PHARMACY DATA MANAGEMENT
       896  SEP  6,1994  INDIAN HEALTH SERVICE
       898  SEP 24,1994  INDIAN HEALTH SERVICE
       900  JUN 24,1994  INPATIENT MEDICATIONS
       901  JUN 24,1994  PHARMACY DATA MANAGEMENT
       902  JUN 24,1994  INPATIENT MEDICATIONS
       905  JUL  7,1994  ADVERSE REACTION TRACKING
       907  JUL 13,1994  PCE PATIENT CARE ENCOUNTER
       909  JUL 14,1994  REGISTRATION
       913  JUL 22,1994  REGISTRATION
       915  AUG 11,1994  SOCIAL WORK
       916  JUL 25,1994  VA FILEMAN
       918  JUL 26,1994  REGISTRATION
       921  JUL 27,1994  PHARMACY DATA MANAGEMENT
       923  JUL 28,1994  SCHEDULING
       924  JUL 28,1994  REGISTRATION
       925  JUL 28,1994  REGISTRATION
       927  AUG  1,1994  SURGERY
       928  AUG  2,1994  PROBLEM LIST
       930  SEP 20,1994  KERNEL
       932  AUG  4,1994  KERNEL
       933  AUG  4,1994  KERNEL
       934  AUG  5,1994  PHARMACY DATA MANAGEMENT
       935  AUG  9,1994  REGISTRATION
       936  AUG 11,1994  KERNEL
       937  AUG 12,1994  VA FILEMAN
       938  AUG 16,1994  HEALTH SUMMARY
       939  AUG 16,1994  HEALTH SUMMARY
       940  AUG 19,1994  HEALTH LEVEL SEVEN
       941  AUG 19,1994  HEALTH LEVEL SEVEN
       942  AUG 19,1994  HEALTH LEVEL SEVEN
       943  AUG 19,1994  INCOME VERIFICATION MATCH
       944  AUG 19,1994  INTEGRATED BILLING
       945  AUG 19,1994  INTEGRATED BILLING
       946  AUG 19,1994  INTEGRATED BILLING
       947  AUG 19,1994  INTEGRATED BILLING
       948  AUG 19,1994  INTEGRATED BILLING
       949  AUG 19,1994  INTEGRATED BILLING
       950  AUG 19,1994  INTEGRATED BILLING
       951  AUG 19,1994  INTEGRATED BILLING
       952  AUG 19,1994  INTEGRATED BILLING
       954  AUG 19,1994  IFCAP
       955  AUG 21,1994  REGISTRATION
       957  AUG 22,1994  REGISTRATION
       958  AUG 22,1994  REGISTRATION
       959  AUG 22,1994  REGISTRATION
       960  AUG 22,1994  REGISTRATION
       961  AUG 22,1994  REGISTRATION
       963  AUG 22,1994  REGISTRATION
       964  OCT 26,2004  SCHEDULING
       965  AUG 22,1994  REGISTRATION
       966  AUG 22,1994  REGISTRATION
       967  AUG 22,1994  REGISTRATION
       968  AUG 22,1994  REGISTRATION
       973  SEP 23,1994  KERNEL
       974  AUG 23,1994  REGISTRATION
       975  AUG 29,1994  VA FILEMAN
       976  AUG 29,1994  KERNEL
       978  AUG 30,1994  KERNEL
       979  AUG 30,1994  KERNEL
       980  AUG 30,1994  OUTPATIENT PHARMACY
       981  AUG 30,1994  OUTPATIENT PHARMACY
       982  AUG 30,1994  OUTPATIENT PHARMACY
       983  AUG 30,1994  OUTPATIENT PHARMACY
       986  AUG 30,1994  OUTPATIENT PHARMACY
       987  SEP 26,1994  VA FILEMAN
       988  SEP 26,1994  IFCAP
       990  SEP 30,1994  SURGERY
       991  SEP 30,1994  SURGERY
       992  SEP 30,1994  SURGERY
       994  SEP 30,1994  REGISTRATION
       996  AUG 31,1994  RADIOLOGY/NUCLEAR MEDICINE
       997  AUG 31,1994  REGISTRATION
       998  AUG 31,1994  REGISTRATION
       999  SEP  2,1994  VA FILEMAN
      1003  SEP 13,1994  REGISTRATION
      1004  SEP 24,1994  INDIAN HEALTH SERVICE
      1005  SEP 24,1994  INDIAN HEALTH SERVICE
      1006  SEP 24,1994  INDIAN HEALTH SERVICE
      1013  OCT  5,1994  KERNEL
      1014  OCT  5,1994  KERNEL
      1015  APR  3,2003  SCHEDULING
      1016  OCT 17,1994  VA FILEMAN
      1017  OCT  7,1994  VA FILEMAN
      1019  OCT  7,1994  MAILMAN
      1020  OCT 23,1998  IFCAP
      1021  JUN  1,1998  IFCAP
      1022  OCT 12,1994  IFCAP
      1023  OCT 13,1994  PATIENT DATA EXCHANGE
      1024  OCT 17,1994  SCHEDULING
      1027  NOV  2,1994  PATIENT DATA EXCHANGE
      1030  NOV  9,1994  OUTPATIENT PHARMACY
      1031  OCT 20,1994  REGISTRATION
      1032  OCT 21,1994  REGISTRATION
      1033  OCT 18,1994  INDIAN HEALTH SERVICE
      1034  OCT 18,1994  MAILMAN
      1036  NOV 17,1994  DRUG ACCOUNTABILITY
      1037  OCT 24,1994  REGISTRATION
      1038  OCT 27,1994  CONTROLLED SUBSTANCES
      1039  OCT 24,1994  KERNEL
      1040  OCT 24,1994  MAILMAN
      1043  OCT 27,1994  CONTROLLED SUBSTANCES
      1044  OCT 27,1994  INDIAN HEALTH SERVICE
      1045  OCT 28,1994  INTEGRATED BILLING
      1046  OCT 28,1994  INTEGRATED BILLING
      1049  NOV  4,1994  KERNEL
      1050  JUL 14,1994  REGISTRATION
      1051  JUL 14,1994  REGISTRATION
      1052  NOV  7,1994  VA FILEMAN
      1053  NOV  7,1994  VA FILEMAN
      1054  NOV  7,1994  VA FILEMAN
      1055  NOV  7,1994  VA FILEMAN
      1056  NOV  7,1994  VA FILEMAN
      1057  NOV  7,1994  VA FILEMAN
      1058  NOV  7,1994  VA FILEMAN
      1059  NOV  8,1994  VA FILEMAN
      1061  NOV 10,1994  Missing Patient Register
      1062  JAN 12,1995  VA FILEMAN
      1064  NOV 16,1994  KERNEL
      1067  NOV 17,1994  CMOP
      1069  DEC  5,1994  REGISTRATION
      1070  MAR 30,1995  REGISTRATION
      1076  DEC  9,1994  REGISTRATION
      1078  DEC  9,1994  PROGRESS NOTES
      1080  DEC 13,1994  PHARMACY DATA MANAGEMENT
      1087  DEC 13,1994  KERNEL
      1088  APR  4,1995  CMOP
      1089  JAN  9,1995  GENERIC CODE SHEET
      1090  DEC 14,1994  CONSULT/REQUEST TRACKING
      1091  JAN  5,1995  VA FILEMAN
      1092  DEC 20,1994  KERNEL
      1093  DEC 22,1994  GENERIC CODE SHEET
      1094  DEC 22,1994  GENERIC CODE SHEET
      1095  DEC 29,1994  INPATIENT MEDICATIONS
      1096  JAN  3,1995  REGISTRATION
      1097  JAN  3,1995  REGISTRATION
      1098  JAN  3,1995  REGISTRATION
      1099  JAN  3,1995  REGISTRATION
      1100  JAN  3,1995  REGISTRATION
      1106  JAN  9,1995  QUALITY ASSURANCE INTEGRATION
      1107  JAN 10,1995  GENERIC CODE SHEET
      1108  JAN 11,1995  GENERIC CODE SHEET
      1111  JAN 10,1995  VA FILEMAN
      1112  JAN 26,1995  REGISTRATION
      1113  JAN 10,1995  KERNEL
      1114  JAN 11,1995  GENERIC CODE SHEET
      1115  JAN 11,1995  GENERIC CODE SHEET
      1116  JAN 11,1995  GENERIC CODE SHEET
      1117  JAN 11,1995  GENERIC CODE SHEET
      1118  JAN 11,1995  REGISTRATION
      1120  JAN 18,1995  GEN. MED. REC. - VITALS
      1123  JAN 31,1995  ADVERSE REACTION TRACKING
      1124  FEB  1,1995  KERNEL
      1125  FEB  1,1995  KERNEL
      1126  FEB  1,1995  VA FILEMAN
      1128  FEB  3,1995  VA FILEMAN
      1129  FEB  6,1995  KERNEL
      1130  FEB  6,1995  KERNEL
      1131  FEB  9,1995  MAILMAN
      1132  FEB 21,1995  MAILMAN
      1135  FEB 17,1995  ADVERSE REACTION TRACKING
      1136  FEB 21,1995  MAILMAN
      1137  SEP 19,1995  INTEGRATED BILLING
      1138  FEB 17,1995  AUTOMATED MED INFO EXCHANGE
      1139  OCT 12,1997  KERNEL
      1142  FEB 20,1995  MAILMAN
      1143  FEB 20,1995  MAILMAN
      1144  FEB 20,1995  MAILMAN
      1145  FEB 20,1995  MAILMAN
      1146  FEB 20,1995  MAILMAN
      1147  FEB 20,1995  MAILMAN
      1148  FEB 20,1995  MAILMAN
      1150  FEB 20,1995  MAILMAN
      1151  FEB 20,1995  MAILMAN
      1152  FEB 23,1995  MINIMAL PATIENT DATASET
      1153  FEB 24,1995  KERNEL
      1154  MAR  2,1995  REGISTRATION
      1155  MAR  8,1995  ORDER ENTRY/RESULTS REPORTING
      1156  MAR  8,1995  HEALTH SUMMARY
      1157  MAR  8,1995  KERNEL
      1159  MAR 30,1995  REGISTRATION
      1160  MAR 14,1995  VA FILEMAN
      1162  MAR 14,1995  REGISTRATION
      1163  MAR 14,1995  SCHEDULING
      1164  MAR 14,1995  REGISTRATION
      1166  MAR 16,1995  PATIENT DATA EXCHANGE
      1167  APR 14,1995  VA FILEMAN
      1168  MAR 21,1995  VA FILEMAN
      1169  MAR 21,1995  HEALTH LEVEL SEVEN
      1170  JUL 29,1997  HEALTH LEVEL SEVEN
      1171  MAR 21,1995  RADIOLOGY/NUCLEAR MEDICINE
      1172  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1174  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1175  AUG 12,2003  RADIOLOGY/NUCLEAR MEDICINE
      1177  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1178  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1179  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1180  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1181  MAR 23,1995  REGISTRATION
      1183  MAR 28,1995  PROBLEM LIST
      1184  MAR 29,1995  HEALTH SUMMARY
      1185  MAR 30,1995  KERNEL
      1186  MAR 30,1995  KERNEL
      1187  MAR 30,1995  REGISTRATION
      1188  MAR 30,1995  REGISTRATION
      1189  APR  3,1995  CLINICAL PROCEDURES
      1190  APR  3,1995  CLINICAL PROCEDURES
      1193  APR  6,1995  CLINICAL PROCEDURES
      1196  APR 13,1995  IMAGING
      1197  APR 17,1995  GENERIC CODE SHEET
      1198  APR 17,1995  IFCAP
      1199  APR 17,1995  GENERIC CODE SHEET
      1201  APR 20,1995  MAILMAN
      1202  APR 21,1995  IMAGING
      1203  APR 21,1995  SURGERY
      1204  APR 21,1995  SURGERY
      1205  APR 21,1995  ORDER ENTRY/RESULTS REPORTING
      1206  APR 28,1995  VA FILEMAN
      1207  MAY  4,1995  CLINICAL PROCEDURES
      1208  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1209  MAY  5,1995  RADIOLOGY/NUCLEAR MEDICINE
      1210  APR 10,1997  REGISTRATION
      1220  MAY  9,1995  NATIONAL DRUG FILE
      1223  MAY  9,1995  PHARMACY DATA MANAGEMENT
      1230  MAY 17,1995  MAILMAN
      1231  OCT 14,1997  PHARMACY DATA MANAGEMENT
      1232  JUN 23,1999  MAILMAN
      1233  MAY 24,1995  MAILMAN
      1234  MAY 25,1995  KERNEL
      1235  MAY 26,1995  PROSTHETICS
      1236  JUN 16,1995  CLINICAL PROCEDURES
      1237  MAY 31,1995  VA FILEMAN
      1238  MAY 25,1995  PCE PATIENT CARE ENCOUNTER
      1239  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1240  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1241  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1242  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1243  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1244  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1245  JUL 20,1995  VA FILEMAN
      1246  JUL 20,1995  REGISTRATION
      1247  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1248  MAY 26,1995  PCE PATIENT CARE ENCOUNTER
      1249  MAY 30,1995  REGISTRATION
      1251  AUG  3,1995  PCE PATIENT CARE ENCOUNTER
      1252  JUN 20,1995  SCHEDULING
      1253  MAY 30,1995  PROBLEM LIST
      1254  MAY 30,1995  PCE PATIENT CARE ENCOUNTER
      1255  AUG  8,1995  REGISTRATION
      1256  AUG  3,1995  CLINICAL REMINDERS
      1257  AUG  8,1995  REGISTRATION
      1259  MAY 30,1995  PCE PATIENT CARE ENCOUNTER
      1261  AUG  9,1995  PROBLEM LIST
      1265  OCT 20,1997  REGISTRATION
      1268  MAY 31,1995  PCE PATIENT CARE ENCOUNTER
      1273  AUG  3,1995  PCE PATIENT CARE ENCOUNTER
      1277  JUN  1,1995  ACCOUNTS RECEIVABLE
      1278  JUN  1,1995  INTEGRATED BILLING
      1279  JUN  5,1995  KERNEL
      1281  JUN  6,1995  OUTPATIENT PHARMACY
      1282  JUN 26,1995  KERNEL
      1283  JUN 28,1995  MAILMAN
      1284  JUL  5,1995  MAILMAN
      1296  AUG 15,1995  AUTOMATED INFO COLLECTION SYS
      1297  OCT 20,1997  REGISTRATION
      1298  AUG 16,1995  PCE PATIENT CARE ENCOUNTER
      1299  MAY 15,1997  PHARMACY DATA MANAGEMENT
      1300  JUL 19,2004  SCHEDULING
      1301  AUG 17,1995  SCHEDULING
      1302  OCT 20,1997  REGISTRATION
      1306  AUG 21,1995  INDIAN HEALTH SERVICE
      1307  AUG 21,1995  INDIAN HEALTH SERVICE
      1308  AUG 21,1995  INDIAN HEALTH SERVICE
      1309  AUG 21,1995  INDIAN HEALTH SERVICE
      1310  AUG 21,1995  INDIAN HEALTH SERVICE
      1311  AUG 21,1995  INDIAN HEALTH SERVICE
      1312  AUG 21,1995  INDIAN HEALTH SERVICE
      1313  AUG 21,1995  INDIAN HEALTH SERVICE
      1314  AUG 21,1995  INDIAN HEALTH SERVICE
      1315  AUG 21,1995  INDIAN HEALTH SERVICE
      1320  JAN  8,2004  SCHEDULING
      1324  AUG 25,1995  IMAGING
      1325  AUG 25,1995  IMAGING
      1326  AUG 25,1995  IMAGING
      1327  SEP 19,1995  INTEGRATED BILLING
      1328  AUG 25,1995  IMAGING
      1329  SEP 19,1995  INTEGRATED BILLING
      1332  AUG 31,1995  KERNEL
      1333  SEP  7,1995  ADVERSE REACTION TRACKING
      1336  SEP 12,1995  OUTPATIENT PHARMACY
      1337  SEP 12,1995  REGISTRATION
      1338  SEP 12,1995  IMAGING
      1339  SEP 13,1995  HEALTH LEVEL SEVEN
      1340  SEP 14,1995  KERNEL
      1341  SEP 19,1995  ENGINEERING
      1342  SEP 19,1995  ENGINEERING
      1343  SEP 19,1995  ENGINEERING
      1344  MAR 21,1996  ENGINEERING
      1345  SEP 21,1995  ENGINEERING
      1346  MAR 21,1996  ENGINEERING
      1348  APR  4,1996  ENGINEERING
      1349  APR  4,1996  ENGINEERING
      1351  SEP 21,1995  INTEGRATED BILLING
      1353  SEP 21,1995  VA FILEMAN
      1354  SEP 21,1995  INTEGRATED BILLING
      1355  SEP 21,1995  VA FILEMAN
      1358  SEP 21,1995  REGISTRATION
      1359  SEP 21,1995  REGISTRATION
      1360  SEP 21,1995  REGISTRATION
      1361  SEP 22,1995  ORDER ENTRY/RESULTS REPORTING
      1362  SEP 22,1995  ORDER ENTRY/RESULTS REPORTING
      1363  SEP 22,1995  ORDER ENTRY/RESULTS REPORTING
      1364  SEP 22,1995  ORDER ENTRY/RESULTS REPORTING
      1365  SEP 25,1995  PROBLEM LIST
      1366  SEP 26,1995  KERNEL
      1367  SEP 26,1995  KERNEL
      1369  OCT  2,1995  SCHEDULING
      1370  OCT  3,1995  VA FILEMAN
      1371  OCT  4,1995  GENERIC CODE SHEET
      1372  OCT  6,1995  REGISTRATION
      1373  OCT 12,1995  KERNEL
      1376  NOV  7,1995  KERNEL
      1377  NOV  7,1995  REGISTRATION
      1378  NOV  7,1995  REGISTRATION
      1380  NOV  7,1995  REGISTRATION
      1381  NOV  7,1995  GEN. MED. REC. - VITALS
      1382  NOV  7,1995  GEN. MED. REC. - VITALS
      1385  NOV  7,1995  REGISTRATION
      1386  NOV  7,1995  GEN. MED. REC. - GENERATOR
      1387  NOV  7,1995  GEN. MED. REC. - GENERATOR
      1388  NOV  7,1995  GEN. MED. REC. - GENERATOR
      1389  NOV  7,1995  GEN. MED. REC. - GENERATOR
      1390  NOV  7,1995  GEN. MED. REC. - I/O
      1391  NOV  7,1995  GEN. MED. REC. - I/O
      1392  NOV  7,1995  GEN. MED. REC. - I/O
      1393  NOV  7,1995  GEN. MED. REC. - I/O
      1394  NOV  7,1995  GEN. MED. REC. - GENERATOR
      1395  NOV  7,1995  GEN. MED. REC. - I/O
      1396  NOV  7,1995  GEN. MED. REC. - I/O
      1397  NOV  7,1995  GEN. MED. REC. - I/O
      1401  NOV  7,1995  EDUCATION TRACKING
      1403  NOV  7,1995  PAID
      1404  NOV  7,1995  PAID
      1407  NOV  8,1995  DIETETICS
      1409  NOV  8,1995  NURSING SERVICE
      1410  NOV  8,1995  NURSING SERVICE
      1411  NOV  8,1995  NURSING SERVICE
      1412  MAR  5,1997  VA FILEMAN
      1413  NOV  8,1995  REGISTRATION
      1414  NOV  8,1995  REGISTRATION
      1415  NOV  8,1995  GEN. MED. REC. - I/O
      1417  JUN 24,2004  SCHEDULING
      1418  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1419  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1420  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1421  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1422  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1423  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1424  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1425  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1426  NOV 13,1995  GEN. MED. REC. - GENERATOR
      1430  NOV 20,1995  GEN. MED. REC. - I/O
      1431  NOV 20,1995  GEN. MED. REC. - VITALS
      1432  NOV 20,1995  GEN. MED. REC. - I/O
      1433  NOV 20,1995  GEN. MED. REC. - I/O
      1434  NOV 20,1995  GEN. MED. REC. - I/O
      1435  NOV 20,1995  GEN. MED. REC. - I/O
      1436  NOV 20,1995  GEN. MED. REC. - I/O
      1437  NOV 21,1995  GEN. MED. REC. - I/O
      1438  NOV 21,1995  GEN. MED. REC. - I/O
      1439  NOV 21,1995  GEN. MED. REC. - VITALS
      1440  NOV 22,1995  GEN. MED. REC. - VITALS
      1441  NOV 22,1995  GEN. MED. REC. - VITALS
      1442  NOV 22,1995  GEN. MED. REC. - VITALS
      1443  NOV 22,1995  GEN. MED. REC. - VITALS
      1444  NOV 22,1995  GEN. MED. REC. - VITALS
      1445  NOV 22,1995  GEN. MED. REC. - VITALS
      1446  NOV 28,2006  GEN. MED. REC. - VITALS
      1447  NOV 22,1995  GEN. MED. REC. - VITALS
      1448  NOV 22,1995  GEN. MED. REC. - VITALS
      1449  DEC  7,1995  KERNEL
      1450  DEC 13,1995  VA FILEMAN
      1451  JAN  3,1996  ACCOUNTS RECEIVABLE
      1452  JAN  4,1996  ACCOUNTS RECEIVABLE
      1453  JAN  4,1996  ACCOUNTS RECEIVABLE
      1457  JAN 12,1996  INTEGRATED BILLING
      1458  JAN 17,1996  GEN. MED. REC. - I/O
      1459  JAN 17,1996  GEN. MED. REC. - I/O
      1460  JAN 17,1996  GEN. MED. REC. - I/O
      1461  JAN 17,1996  GEN. MED. REC. - I/O
      1462  JAN 18,1996  GEN. MED. REC. - I/O
      1463  JAN 18,1996  GEN. MED. REC. - I/O
      1464  JAN 18,1996  GEN. MED. REC. - I/O
      1465  JAN 18,1996  GEN. MED. REC. - I/O
      1466  JAN 18,1996  GEN. MED. REC. - I/O
      1467  JAN 19,1996  ADVERSE REACTION TRACKING
      1469  JAN 19,1996  ADVERSE REACTION TRACKING
      1472  JAN 23,1996  KERNEL
      1473  FEB  9,1996  AUTOMATED MED INFO EXCHANGE
      1475  FEB  9,1996  SCHEDULING
      1476  FEB  9,1996  REGISTRATION
      1479  MAR  1,1996  KERNEL
      1481  FEB  9,1996  REGISTRATION
      1483  FEB 26,1996  IFCAP
      1484  FEB 26,1996  IFCAP
      1485  FEB 26,1996  IFCAP
      1489  FEB 14,1996  ORDER ENTRY/RESULTS REPORTING
      1490  FEB 22,1996  SURVEY GENERATOR
      1491  FEB 16,1996  SURVEY GENERATOR
      1492  FEB 16,1996  SURVEY GENERATOR
      1493  FEB 16,1996  SURVEY GENERATOR
      1494  FEB 21,1996  REGISTRATION
      1495  FEB 22,1996  HEALTH LEVEL SEVEN
      1496  FEB 22,1996  HEALTH LEVEL SEVEN
      1497  FEB 26,1996  IFCAP
      1498  FEB 26,1996  IFCAP
      1499  FEB 26,1996  IFCAP
      1500  FEB 26,1996  IFCAP
      1511  MAR  8,1996  LEXICON UTILITY
      1515  MAR 12,1996  VA FILEMAN
      1516  MAR 19,1996  HEALTH SUMMARY
      1517  MAR 19,1996  SPINAL CORD DYSFUNCTION
      1519  MAR 29,1996  KERNEL
      1520  APR  4,1996  IFCAP
      1521  APR  4,1996  IFCAP
      1522  APR  4,1996  IFCAP
      1523  APR  4,1996  IFCAP
      1524  APR  4,1996  IFCAP
      1525  APR  4,1996  IFCAP
      1527  APR  5,1996  OUTPATIENT PHARMACY
      1528  APR  5,1996  SOCIAL WORK
      1529  APR 26,1996  NURSING SERVICE
      1530  APR 29,1996  FEE BASIS
      1531  MAY  1,1996  DSS EXTRACTS
      1533  MAY  7,1996  VA FILEMAN
      1534  MAY 14,1996  NURSING SERVICE
      1535  MAY 17,1996  VA FILEMAN
      1540  JUN 13,1996  VA FILEMAN
      1541  FEB 23,1998  PCE PATIENT CARE ENCOUNTER
      1543  JUN 18,1996  VA FILEMAN
      1544  JUN 18,1996  AUTHORIZATION/SUBSCRIPTION
      1546  JUN 18,1996  AUTHORIZATION/SUBSCRIPTION
      1549  JUN 19,1996  IFCAP
      1550  JUN 19,1996  IFCAP
      1551  JUN 19,1996  IFCAP
      1552  JUN 19,1996  IFCAP
      1553  JUN 24,1996  VA FILEMAN
      1554  JUN 26,1996  PCE PATIENT CARE ENCOUNTER
      1555  JUN 26,1996  KERNEL
      1556  JUL  1,1996  VA FILEMAN
      1557  JUL  3,1996  KERNEL
      1558  JUL 17,1996  QUASAR
      1559  JUL 17,1996  QUASAR
      1560  JUL 17,1996  QUASAR
      1561  JUL 18,1996  EVENT CAPTURE
      1563  JUL 19,1996  MAILMAN
      1564  JUL 19,1996  MAILMAN
      1565  JUL 19,1996  HEALTH LEVEL SEVEN
      1566  JUL 19,1996  HEALTH LEVEL SEVEN
      1568  JUL 30,1996  VA FILEMAN
      1569  AUG  1,1996  LIST MANAGER
      1571  AUG  7,1996  LEXICON UTILITY
      1573  AUG  7,1996  LEXICON UTILITY
      1574  AUG  7,1996  REGISTRATION
      1575  AUG  7,1996  SCHEDULING
      1579  JUN 30,2003  SCHEDULING
      1585  AUG  8,1996  SCHEDULING
      1587  AUG  8,1996  CPT/HCPCS CODES
      1589  AUG  8,1996  GEN. MED. REC. - VITALS
      1590  AUG  9,1996  SCHEDULING
      1592  AUG  9,1996  PROBLEM LIST
      1593  AUG  9,1996  PCE PATIENT CARE ENCOUNTER
      1594  AUG 12,1996  REGISTRATION
      1595  AUG 15,1996  VA FILEMAN
      1597  AUG 18,1996  LEXICON UTILITY
      1599  AUG 19,1996  LEXICON UTILITY
      1601  AUG 19,1996  LEXICON UTILITY
      1603  AUG 19,1996  LEXICON UTILITY
      1605  AUG 19,1996  LEXICON UTILITY
      1607  AUG 19,1996  LEXICON UTILITY
      1609  AUG 19,1996  LEXICON UTILITY
      1611  AUG 20,1996  PROBLEM LIST
      1612  AUG 20,1996  MENTAL HEALTH
      1614  AUG 20,1996  LEXICON UTILITY
      1615  AUG 27,1996  AUTOMATED INFO COLLECTION SYS
      1616  AUG 27,1996  TEXT INTEGRATION UTILITIES
      1618  SEP 13,1996  VA FILEMAN
      1619  SEP 24,1996  VA FILEMAN
      1621  OCT  4,1996  KERNEL
      1622  OCT 18,1996  VA FILEMAN
      1623  OCT 22,1996  SCHEDULING
      1624  OCT 24,1996  REGISTRATION
      1625  NOV  7,1996  KERNEL
      1629  NOV 28,2006  RPC BROKER
      1630  JUN 29,1999  KERNEL
      1631  JUN 29,1999  KERNEL
      1632  JUN 29,1999  KERNEL
      1633  JUN 29,1999  KERNEL
      1634  APR 30,2003  TEXT INTEGRATION UTILITIES
